pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_threshold,0,2,1,21,0.03625783232055896
random_threshold,0,2,2,22,0.03625783232055896
random_threshold,0,2,3,23,0.03902791542305203
random_threshold,0,2,4,24,0.029332624564326268
random_threshold,0,2,5,25,0.03348774921806588
random_threshold,0,2,6,26,0.05426337248676394
random_threshold,0,2,7,27,0.01963733370560051
random_threshold,0,2,8,28,0.050108247833024325
random_threshold,0,2,9,29,0.05149328938427086
random_threshold,0,2,10,2a,0.03902791542305202
random_threshold,0,2,11,2b,0.05426337248676394
random_threshold,0,2,12,2c,0.0528783309355174
random_threshold,0,2,13,2d,0.05149328938427086
random_threshold,0,2,14,2e,0.032102707666819344
random_threshold,0,2,15,2f,0.03764287387180549
random_threshold,0,3,0,30,0.031269721411092556
random_threshold,0,3,1,31,0.03542484606483217
random_threshold,0,3,2,32,0.03542484606483217
random_threshold,0,3,3,33,0.038194929167325246
random_threshold,0,3,4,34,0.028499638308599487
random_threshold,0,3,5,35,0.032654762962339094
random_threshold,0,3,6,36,0.05343038623103715
random_threshold,0,3,7,37,0.018804347449873724
random_threshold,0,3,8,38,0.049275261577297544
random_threshold,0,3,9,39,0.05066030312854408
random_threshold,0,3,10,3a,0.03819492916732524
random_threshold,0,3,11,3b,0.05343038623103715
random_threshold,0,3,12,3c,0.05204534467979062
random_threshold,0,3,13,3d,0.050660303128544075
random_threshold,0,3,14,3e,0.031269721411092556
random_threshold,0,3,15,3f,0.03680988761607871
random_threshold,0,4,0,40,0.04459750150272104
random_threshold,0,4,1,41,0.04875262615646066
random_threshold,0,4,2,42,0.04875262615646066
random_threshold,0,4,3,43,0.05152270925895373
random_threshold,0,4,4,44,0.04182741840022797
random_threshold,0,4,5,45,0.04598254305396758
random_threshold,0,4,6,46,0.06675816632266564
random_threshold,0,4,7,47,0.03213212754150221
random_threshold,0,4,8,48,0.06260304166892602
random_threshold,0,4,9,49,0.06398808322017258
random_threshold,0,4,10,4a,0.051522709258953726
random_threshold,0,4,11,4b,0.06675816632266564
random_threshold,0,4,12,4c,0.0653731247714191
random_threshold,0,4,13,4d,0.06398808322017256
random_threshold,0,4,14,4e,0.04459750150272104
